"gene","dnLGD","dnMIS","dnMIS30","dnLGD_pValue","dnLGD_qValue","dnMIS_pValue","dnMIS_qValue","dnMIS30_pValue","dnMIS30_qValue"
"SLC6A1",5,12,9,1.22482260197824e-06,0.000504467152545213,1.05598594069848e-08,1.17686527249843e-05,1.34339801503196e-11,6.36300469819886e-08
"SMARCC2",5,2,0,2.74605044508077e-06,0.00106176881086735,0.446150121557524,1,1,1
"SMARCD1",2,2,0,7.291553877905e-11,5.31329922195339e-08,3.14861959312119e-09,4.97114556760618e-06,1,1
"SPEN",4,5,2,0.00781302109068826,1,0.867728801059955,1,0.0279171816502183,1
"STXBP1",9,10,8,1.33787725595952e-15,1.26737112457046e-12,1.8566146851782e-09,3.19776562048965e-06,2.27826934592135e-13,2.15820455139129e-09
"SUV420H1",12,3,1,6.14833484783643e-22,9.70719600225908e-19,0.0404597989337125,1,0.0468581557755062,1
"TAB2",3,1,0,0.0142910734799812,1,0.992737314558806,1,1,1
"TAF1",0,5,5,1,1,0.236225423520428,1,6.46093763763488e-05,0.0532212715141872
"TBL1XR1",5,12,2,8.11854916774597e-12,6.40891802217146e-09,3.55037206412438e-21,2.24217830423002e-17,0.000184873191151549,0.134715672290664
"TBR1",4,3,1,1.96621298631377e-07,9.31296780967517e-05,0.00942806428259687,1,0.0261264012500888,1
"TCF12",4,1,0,1.55077161450092e-06,0.000625125936347541,0.464315285879631,1,1,1
"TCF7L2",4,5,3,7.48957989126477e-06,0.00278230550235103,0.00234621742195213,1,0.000374709944078523,0.244801882776265
"TNPO2",0,5,4,1,1,0.0128943881147512,1,8.37712289661267e-06,0.00933605708230727
"TNRC6B",3,3,0,0.00261530756366159,0.707851672873321,0.342323565312527,1,1,1
"TRAF7",1,6,3,0.128367824264005,1,0.000433399512477664,0.283144384944891,2.38585653285432e-05,0.0205465626688445
"TRIO",1,14,6,0.394606134259678,1,4.40610610331368e-05,0.0333912344933524,1.13283645918689e-06,0.00165097842736576
"TRIP12",6,5,3,9.73492419091872e-08,4.85362825581963e-05,0.0168278634227784,1,0.00105042813749312,0.568611756941274
"U2AF2",0,4,3,1,1,0.00489441144642733,1,7.66754011897076e-05,0.0605288396225084
"UBTF",1,3,2,0.0820680566441403,1,0.0186431982697377,1,0.000725371653005504,0.416451252661887
"UIMC1",0,6,0,1,1,0.0170618595642335,1,1,1
"UPF3B",5,1,0,0.000218845279319832,0.0691040443665588,0.970201605075481,1,1,1
"USP9X",8,5,1,5.81297121720436e-08,3.14664436231868e-05,0.288942960552452,1,0.276085338119113,1
"VEZF1",2,2,0,0.000737060623053383,0.218192977568272,0.0436773222392104,1,1,1
"WAC",8,1,1,2.09225059906396e-14,1.8018081749939e-11,0.407754049837121,1,0.0599225851315785,1
"WDR26",2,2,0,1.09592753179683e-10,7.41551536336528e-08,5.19564338837866e-09,7.03118997401586e-06,1,1
"WHSC1",5,2,1,4.66998733638495e-07,0.000210660904940831,0.365996411295018,1,0.135989675483558,1
"WNT7B",0,1,0,1,1,0.33068479382054,1,1,1
"WNT9A",1,0,0,0.0932288650892741,1,1,1,1,1
"YTHDF1",3,1,0,0.000101348840052425,0.0331061228212628,0.531908076694839,1,1,1
"ZBTB18",4,2,1,0.0112695285145539,1,0.990882291180765,1,0.010670181238825,1
"ZC3H4",2,4,1,0.0619529051278067,1,0.525584884875529,1,0.0900947557533729,1
"ZMYM2",2,1,0,0.0100962616239379,1,0.653621273699353,1,1,1
"ZMYND11",2,6,3,0.00110106638362167,0.311355279165615,1.13283645918689e-06,0.00102203426455975,4.24497089095461e-06,0.00536168123333507
"ZNF292",4,4,0,0.00103717390221924,0.297731768961298,0.544662091077134,1,1,1
